Jurisdiction,Year,Industry,Unit,Quantity
NT,2017,Construction,PJ,0.457
NT,2017,Electricity generation,PJ,27.747
NT,2017,Manufacturing,PJ,1.128
NT,2017,Mining,PJ,27.987
NT,2017,Other,PJ,0.191
NT,2017,Residential,PJ,3.176
NT,2017,Transport,PJ,21.634
NT,2017,Water and waste,PJ,0.13
NT,2018,Agriculture,PJ,1.853
NT,2018,Commercial and services,PJ,5.496
NT,2018,Construction,PJ,0.353
NT,2018,Electricity generation,PJ,33.279
NT,2018,Manufacturing,PJ,0.493
NT,2018,Mining,PJ,59.098
NT,2018,Other,PJ,0.129
NT,2018,Residential,PJ,3.446
NT,2018,Transport,PJ,28.748
NT,2018,Water and waste,PJ,0.127
NT,2019,Agriculture,PJ,1.872
NT,2019,Commercial and services,PJ,4.994
NT,2019,Construction,PJ,0.239
NT,2019,Electricity generation,PJ,33.079
NT,2019,Manufacturing,PJ,0.442
NT,2019,Mining,PJ,78.182
NT,2019,Other,PJ,0.179
NT,2019,Residential,PJ,3.567
NT,2019,Transport,PJ,23.816
NT,2019,Water and waste,PJ,0.129
NT,2020,Agriculture,PJ,2.266
NT,2020,Commercial and services,PJ,4.958
NT,2020,Construction,PJ,0.257
NT,2020,Electricity generation,PJ,32.579
NT,2020,Manufacturing,PJ,0.342
NT,2020,Mining,PJ,76.547
NT,2020,Other,PJ,0.152
NT,2020,Residential,PJ,3.76
NT,2020,Transport,PJ,24.353
NT,2020,Water and waste,PJ,0.126
NT,2021,Agriculture,PJ,1.744
NT,2021,Commercial and services,PJ,5.073
NT,2021,Construction,PJ,0.259
NT,2021,Electricity generation,PJ,31.723
NT,2021,Manufacturing,PJ,0.286
NT,2021,Mining,PJ,78.481
NT,2021,Other,PJ,0.139
NT,2021,Residential,PJ,4.075
NT,2021,Transport,PJ,27.864
NT,2021,Water and waste,PJ,0.129
NT,2022,Agriculture,PJ,0.728
NT,2022,Commercial and services,PJ,5.073
NT,2022,Construction,PJ,0.506
NT,2022,Electricity generation,PJ,30.307
NT,2022,Manufacturing,PJ,0.255
NT,2022,Mining,PJ,62.97
NT,2022,Other,PJ,0.149
NT,2022,Residential,PJ,3.915
NT,2022,Transport,PJ,25.576
NT,2022,Water and waste,PJ,0.115
QLD,2000,Agriculture,PJ,15.4
QLD,2000,Commercial and services,PJ,39.2
QLD,2000,Construction,PJ,9.2
QLD,2000,Electricity generation,PJ,317.1
